latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
16.5062,80.6480,341.2,0.45,0.39,2026-09-12,1230,VIIRS,VIIRS,n,2.0,305.4,48.7,D
16.5120,80.6510,355.8,0.45,0.39,2026-09-12,1230,VIIRS,VIIRS,h,2.0,312.1,85.3,D
21.1458,79.0882,328.5,0.50,0.40,2026-09-12,0815,N20,VIIRS,n,2.0,298.0,22.1,D
22.5726,88.3639,348.0,0.42,0.38,2026-09-12,1345,N21,VIIRS,h,2.0,309.8,64.2,D
12.9716,77.5946,315.4,0.48,0.41,2026-09-12,1920,VIIRS,VIIRS,l,2.0,292.3,12.0,N
19.0760,72.8777,362.1,0.40,0.37,2026-09-12,0310,MODIS,MODIS,95,6.1,318.9,110.5,N
28.7041,77.1025,334.6,0.46,0.39,2026-09-12,0740,N20,VIIRS,n,2.0,301.2,31.8,D
23.0225,72.5714,351.0,0.44,0.38,2026-09-12,1410,VIIRS,VIIRS,h,2.0,308.7,78.4,D
17.3850,78.4867,322.9,0.49,0.40,2026-09-12,2105,N21,VIIRS,l,2.0,295.1,18.6,N
13.0827,80.2707,339.8,0.43,0.38,2026-09-12,1150,MODIS,MODIS,82,6.1,304.5,42.3,D
